"Substrate","ChEBI","TCNumber","InChI"
"(1->4)-beta-D-glucan","CHEBI:3529","4.D.3.1.4","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
"(1->4)-beta-D-glucan","CHEBI:3529","4.D.3.1.7","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
"(1->4)-beta-D-glucan","CHEBI:3529","4.D.3.1.12","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
"(1->4)-beta-D-glucan","CHEBI:3529","4.D.3.1.2","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
"(1->4)-beta-D-glucan","CHEBI:3529","4.D.3.1.13","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
"(1->4)-beta-D-glucan","CHEBI:3529","4.D.3.1.5","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
"(2-aminoethyl)phosphonic acid","CHEBI:172","3.A.1.11.5","InChI=1S/C2H8NO3P/c3-1-2-7(4,5)6/h1-3H2,(H2,4,5,6)"
"(2,4-dichlorophenoxy)acetate","CHEBI:19351","2.A.1.15.3","InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)/p-1"
"(22E,24S)-24-methylcholesta-5,7,14,22-tetraen-3beta-ol","CHEBI:87279","1.A.79.1.5","InChI=1S/C28H42O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h7-10,12,18-20,22,24,26,29H,11,13-17H2,1-6H3/b8-7+/t19-,20+,22-,24+,26-,27-,28+/m0/s1"
"(3,4-dihydroxyphenyl)acetate","CHEBI:19889","3.A.1.4.7","InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)/p-1"
"(3,4-dihydroxyphenyl)acetate","CHEBI:19889","2.A.80.1.2","InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)/p-1"
"(3,4-dihydroxyphenyl)acetate","CHEBI:19889","2.A.1.15.1","InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)/p-1"
"(carboxymethyl)(dimethyl)sulfonium","CHEBI:4623","3.A.1.12.4","InChI=1S/C4H8O2S/c1-7(2)3-4(5)6/h3H2,1-2H3/p+1"
"(carboxymethyl)(dimethyl)sulfonium","CHEBI:4623","2.A.15.1.1","InChI=1S/C4H8O2S/c1-7(2)3-4(5)6/h3H2,1-2H3/p+1"
"(carboxymethyl)(dimethyl)sulfonium","CHEBI:4623","3.A.1.12.2","InChI=1S/C4H8O2S/c1-7(2)3-4(5)6/h3H2,1-2H3/p+1"
"(E)-4-(trimethylammonio)but-2-enoate","CHEBI:17237","3.A.1.12.4","InChI=1S/C7H13NO2/c1-8(2,3)6-4-5-7(9)10/h4-5H,6H2,1-3H3/b5-4+"
"(E)-4-(trimethylammonio)but-2-enoate","CHEBI:17237","4.C.1.1.6","InChI=1S/C7H13NO2/c1-8(2,3)6-4-5-7(9)10/h4-5H,6H2,1-3H3/b5-4+"
"(R)-3-hydroxybutyrate","CHEBI:10983","2.A.8.1.14","InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.1.5","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.1.2","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.1.15","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.1.4","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.3.1","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.1.12","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.2.1","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.2.7","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.2.3","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.1.10","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-camphor","CHEBI:41334","1.A.43.1.13","InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
"(R)-carnitine","CHEBI:6202","2.A.1.19.13","InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1"
"(R)-carnitine","CHEBI:6202","2.A.1.19.40","InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1"
"(R)-carnitine","CHEBI:6202","4.C.2.1.3","InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1"
"(R)-carnitine","CHEBI:6202","2.A.1.19.12","InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1"
"(R)-lipoate","CHEBI:83088","2.A.88.7.1","InChI=1S/C8H14O2S2/c9-8(10)4-2-1-3-7-5-6-11-12-7/h7H,1-6H2,(H,9,10)/p-1/t7-/m1/s1"
"(R)-lipoate","CHEBI:83088","2.A.21.5.2","InChI=1S/C8H14O2S2/c9-8(10)4-2-1-3-7-5-6-11-12-7/h7H,1-6H2,(H,9,10)/p-1/t7-/m1/s1"
"(R)-noradrenaline","CHEBI:1","2.A.22.1.6","InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1"
"(R)-noradrenaline","CHEBI:1","2.A.22.1.2","InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1"
"(S)-2-hydroxybutyric acid","CHEBI:50613","2.A.1.13.1","InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/t3-/m0/s1"
"(S)-2-hydroxybutyric acid","CHEBI:50613","2.A.8.1.13","InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/t3-/m0/s1"
"(S)-3-aminoisobutyric acid","CHEBI:33094","2.A.18.6.5","InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1"
"(S)-atropine","CHEBI:17486","2.A.66.1.19","InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15+,16-/m1/s1"
"(S)-lactate","CHEBI:16651","2.A.24.3.1","InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m0/s1"
"(S)-lactate","CHEBI:16651","2.A.14.1.3","InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m0/s1"
"(S)-malate(2-)","CHEBI:15589","2.A.24.2.4","InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1"
"(S)-malate(2-)","CHEBI:15589","2.A.56.1.18","InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1"
"(S)-malate(2-)","CHEBI:15589","2.A.24.2.1","InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1"
"(S)-naringenin","CHEBI:7483","1.B.9.1.1","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1"
"(S)-naringenin","CHEBI:7483","1.B.6.1.1","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1"
"(S)-nicotine","CHEBI:7562","2.A.66.1.19","InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1"
"(S)-nicotine","CHEBI:7562","2.A.7.14.6","InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1"
"(S)-nicotine","CHEBI:7562","2.A.7.1.8","InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1"
"(S)-nicotine","CHEBI:7562","2.A.66.1.61","InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1"
"(S)-nicotine","CHEBI:7562","2.A.66.1.39","InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1"
"[8)-alpha-Neu5Ac-(2->]n","CHEBI:61599","1.B.18.1.2","InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/t5-,6+,7+,8+,9+,11+/m0/s1"
"1-(4-amino-2-methylpyrimidin-5-ylmethyl)-3-(2-hydroxyethyl)-2-methylpyridinium bromide","CHEBI:15797","2.A.88.3.2","InChI=1S/C14H19N4O.BrH/c1-10-12(5-7-19)4-3-6-18(10)9-13-8-16-11(2)17-14(13)15;/h3-4,6,8,19H,5,7,9H2,1-2H3,(H2,15,16,17);1H/q+1;/p-1"
"1-chloro-2,4-dinitrobenzene","CHEBI:34718","3.A.1.208.5","InChI=1S/C6H3ClN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H"
"1-hydroxy-2-naphthoate","CHEBI:15992","2.A.1.15.8","InChI=1S/C11H8O3/c12-10-8-4-2-1-3-7(8)5-6-9(10)11(13)14/h1-6,12H,(H,13,14)/p-1"
"1-methylguanine","CHEBI:21803","2.A.40.7.5","InChI=1S/C6H7N5O/c1-11-5(12)3-4(9-2-8-3)10-6(11)7/h2H,1H3,(H2,7,10)(H,8,9)"
"1-methylinosine","CHEBI:19065","2.A.57.4.1","InChI=1S/C11H14N4O5/c1-14-3-13-9-6(10(14)19)12-4-15(9)11-8(18)7(17)5(2-16)20-11/h3-5,7-8,11,16-18H,2H2,1H3/t5-,7-,8-,11-/m1/s1"
"1-methylnicotinamide","CHEBI:16797","2.A.1.19.1","InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1"
"1-O-(D-glucosyl)glycerol","CHEBI:91033","3.A.1.1.32","InChI=1S/C9H18O8/c10-1-4(12)3-16-9-8(15)7(14)6(13)5(2-11)17-9/h4-15H,1-3H2/t4?,5-,6-,7+,8-,9?/m1/s1"
"1-oleoylglycerol","CHEBI:75342","2.A.123.2.16","InChI=1S/C21H40O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h9-10,20,22-23H,2-8,11-19H2,1H3/b10-9-"
"1-phosphatidyl-1D-myo-inositol 3-phosphate","CHEBI:8133","9.A.79.1.1","InChI=1S/C11H20O16P2/c12-4(13)1-3(11(18)19)2-25-29(23,24)27-10-7(16)5(14)6(15)9(8(10)17)26-28(20,21)22/h3,5-10,14-17H,1-2H2,(H,12,13)(H,18,19)(H,23,24)(H2,20,21,22)/t3-,5+,6+,7-,8-,9-,10+/m1/s1"
"1,4-benzoquinone","CHEBI:8730","3.D.2.1.2","InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H"
"1,4-benzoquinone","CHEBI:8730","3.D.10.1.4","InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H"
"1,4-butanediammonium","CHEBI:326268","2.A.117.1.3","InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2/p+2"
"17beta-estradiol","CHEBI:16469","3.A.1.208.5","InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1"
"17beta-estradiol","CHEBI:4864","2.A.6.2.7","InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1"
"17beta-estradiol","CHEBI:4864","2.A.6.2.13","InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1"
"17beta-estradiol","CHEBI:4864","3.A.1.204.2","InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1"
"17beta-estradiol","CHEBI:4864","2.A.1.3.2","InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1"
"17beta-hydroxy-5alpha-androstan-3-one","CHEBI:16330","1.A.53.1.1","InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14-,15-,16-,17-,18-,19-/m0/s1"
"1H-benzimidazole","CHEBI:3028","3.A.1.205.7","InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)"
"1H-indole","CHEBI:5900","2.A.42.1.2","InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H"
"1H-pyrrole","CHEBI:19203","3.A.1.205.7","InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H"
"1H-pyrrole","CHEBI:19203","3.A.1.205.13","InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H"
"1H-pyrrole","CHEBI:19203","2.A.1.3.53","InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H"
"1H-pyrrole","CHEBI:19203","3.A.1.205.5","InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H"
"1H-pyrrole","CHEBI:19203","3.A.1.205.6","InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H"
"1H-pyrrole","CHEBI:19203","3.A.1.201.11","InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:51232","3.A.1.109.3","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:5742","3.A.1.106.5","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:5742","3.A.1.135.8","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:5742","2.A.66.1.21","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:5742","3.A.1.135.6","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:5742","3.A.1.106.18","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:5742","3.A.1.204.2","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:5742","2.A.66.1.2","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:5742","2.A.1.3.61","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole","CHEBI:5742","3.A.1.106.2","InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
"2'-deoxyguanosine","CHEBI:17172","3.A.1.2.10","InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1"
"2'-deoxymugineic acid","CHEBI:19274","2.A.67.2.5","InChI=1S/C12H20N2O7/c15-9(12(20)21)1-4-13-7(10(16)17)2-5-14-6-3-8(14)11(18)19/h7-9,13,15H,1-6H2,(H,16,17)(H,18,19)(H,20,21)/t7-,8-,9-/m0/s1"
"2'-deoxytubercidin","CHEBI:88246","2.A.57.2.1","InChI=1S/C11H14N4O3/c12-10-6-1-2-15(11(6)14-5-13-10)9-3-7(17)8(4-16)18-9/h1-2,5,7-9,16-17H,3-4H2,(H2,12,13,14)/t7-,8+,9+/m0/s1"
"2'-deoxyuridine","CHEBI:4434","2.A.1.3.37","InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1"
"2-(alpha-D-mannosyl)-D-glyceric acid","CHEBI:15847","4.A.2.1.3","InChI=1S/C9H16O9/c10-1-3-5(12)6(13)7(14)9(17-3)18-4(2-11)8(15)16/h3-7,9-14H,1-2H2,(H,15,16)/t3-,4-,5-,6+,7+,9-/m1/s1"
"2-(Biaryl)carbapenems","CHEBI:29470","1.B.25.1.1","InChI=1S/C21H19NO4/c1-12(23)18-17-11-16(19(21(25)26)22(17)20(18)24)15-9-7-14(8-10-15)13-5-3-2-4-6-13/h2-10,12,17-18,23H,11H2,1H3,(H,25,26)"
"2-(Biaryl)carbapenems","CHEBI:29470","1.B.35.1.7","InChI=1S/C21H19NO4/c1-12(23)18-17-11-16(19(21(25)26)22(17)20(18)24)15-9-7-14(8-10-15)13-5-3-2-4-6-13/h2-10,12,17-18,23H,11H2,1H3,(H,25,26)"
"2-(Biaryl)carbapenems","CHEBI:29470","1.B.25.1.8","InChI=1S/C21H19NO4/c1-12(23)18-17-11-16(19(21(25)26)22(17)20(18)24)15-9-7-14(8-10-15)13-5-3-2-4-6-13/h2-10,12,17-18,23H,11H2,1H3,(H,25,26)"
"2-(Biaryl)carbapenems","CHEBI:29470","1.B.1.1.11","InChI=1S/C21H19NO4/c1-12(23)18-17-11-16(19(21(25)26)22(17)20(18)24)15-9-7-14(8-10-15)13-5-3-2-4-6-13/h2-10,12,17-18,23H,11H2,1H3,(H,25,26)"
"2-(Biaryl)carbapenems","CHEBI:29470","1.B.1.1.19","InChI=1S/C21H19NO4/c1-12(23)18-17-11-16(19(21(25)26)22(17)20(18)24)15-9-7-14(8-10-15)13-5-3-2-4-6-13/h2-10,12,17-18,23H,11H2,1H3,(H,25,26)"
"2-(Biaryl)carbapenems","CHEBI:29470","1.B.1.1.13","InChI=1S/C21H19NO4/c1-12(23)18-17-11-16(19(21(25)26)22(17)20(18)24)15-9-7-14(8-10-15)13-5-3-2-4-6-13/h2-10,12,17-18,23H,11H2,1H3,(H,25,26)"
"2-(Biaryl)carbapenems","CHEBI:29470","1.B.63.1.1","InChI=1S/C21H19NO4/c1-12(23)18-17-11-16(19(21(25)26)22(17)20(18)24)15-9-7-14(8-10-15)13-5-3-2-4-6-13/h2-10,12,17-18,23H,11H2,1H3,(H,25,26)"
"2-(Biaryl)carbapenems","CHEBI:29470","1.B.25.1.13","InChI=1S/C21H19NO4/c1-12(23)18-17-11-16(19(21(25)26)22(17)20(18)24)15-9-7-14(8-10-15)13-5-3-2-4-6-13/h2-10,12,17-18,23H,11H2,1H3,(H,25,26)"
