"TCNumber","ChEBI","Substrate"
"3.A.1.14.23","CHEBI:17439","cyanocob(III)alamin"
"3.A.1.14.23","CHEBI:30411","cobalamin"
"1.A.17.1.23","CHEBI:3731","chloride"
"1.A.17.5.11","CHEBI:3308","calcium(2+)"
"1.C.19.1.5","CHEBI:5585","water"
"1.C.19.1.5","CHEBI:25367","molecule"
"1.C.19.1.5","CHEBI:53369","polyelectrolyte macromolecule"
"2.A.67.2.5","CHEBI:19274","2'-deoxymugineic acid"
"1.A.22.1.5","CHEBI:24870","ion"
"4.D.1.4.3","CHEBI:24280","D-glucosyl group"
"2.A.32.1.2","CHEBI:9140","silicon atom"
"1.A.17.3.11","CHEBI:3731","chloride"
"2.A.40.6.2","CHEBI:3308","calcium(2+)"
"2.A.40.6.2","CHEBI:6635","magnesium(2+)"
"2.A.40.6.2","CHEBI:9175","sodium(1+)"
"2.A.40.6.2","CHEBI:2868","L-ascorbic acid"
"2.A.7.13.4","CHEBI:84880","GDP-D-mannose"
"1.B.17.2.11","CHEBI:25367","molecule"
"1.A.9.6.2","CHEBI:3731","chloride"
"1.C.105.2.6","CHEBI:25367","molecule"
"2.A.70.1.1","CHEBI:9175","sodium(1+)"
"2.A.70.1.1","CHEBI:38083","malonate ester"
"2.A.19.4.14","CHEBI:49766","sodium(1+)"
"2.A.7.5.2","CHEBI:10410","beta-D-ribopyranose"
"2.A.89.3.8","CHEBI:34754","iron(2+)"
"2.A.89.3.8","CHEBI:29035","manganese(2+)"
"3.A.1.15.1","CHEBI:29035","manganese(2+)"
"8.A.20.1.3","CHEBI:7580","nitric acid"
"3.A.1.5.38","CHEBI:72816","L-alanyl-L-alanine"
"3.A.3.5.14","CHEBI:3290","cadmium(2+)"
"1.G.4.1.2","CHEBI:3308","calcium(2+)"
"1.G.4.1.2","CHEBI:25414","monoatomic monocation"
"2.A.1.1.62","CHEBI:10601","myo-inositol"
"1.A.54.4.3","CHEBI:3473","cation"
"9.B.88.1.3","CHEBI:9089","selane"
"3.A.1.211.13","CHEBI:6486","lipid"
"1.B.20.4.1","CHEBI:8526","protein polypeptide chain"
"2.A.1.1.16","CHEBI:5709","hexose"
"1.C.75.1.3","CHEBI:25367","molecule"
"2.A.108.2.4","CHEBI:5974","iron atom"
"2.A.17.3.23","CHEBI:2365","(+)-abscisic acid"
"2.A.6.2.37","CHEBI:27780","detergent"
"2.A.1.1.26","CHEBI:10601","myo-inositol"
"2.A.1.13.22","CHEBI:3473","cation"
"1.A.8.2.9","CHEBI:5448","glycerol"
"1.C.4.4.3","CHEBI:25367","molecule"
"9.B.102.1.1","CHEBI:9091","selenium atom"
"2.A.123.1.8","CHEBI:9840","UDP-sugar"
"1.A.10.1.11","CHEBI:24870","ion"
"3.A.1.8.3","CHEBI:6967","molybdate"
"1.B.14.2.1","CHEBI:5656","deoxyhemoglobin"
"2.A.53.2.18","CHEBI:3731","chloride"
"2.A.7.3.12","CHEBI:39150","4-oxopentanoate"
"1.A.2.1.16","CHEBI:8345","potassium(1+)"
"1.A.2.1.16","CHEBI:49685","potassium(1+)"
"2.A.6.2.34","CHEBI:3603","chloramphenicol"
"2.A.6.2.34","CHEBI:9474","tetracycline"
"2.A.6.2.34","CHEBI:87211","fluoroquinolone antibiotic"
"2.A.6.2.34","CHEBI:25106","macrolide"
"2.A.5.3.6","CHEBI:10113","zinc(2+)"
"3.A.3.2.27","CHEBI:3308","calcium(2+)"
"2.A.29.5.5","CHEBI:5974","iron atom"
"3.A.3.9.1","CHEBI:9175","sodium(1+)"
"2.A.67.1.6","CHEBI:9500","tetrapeptide"
"2.A.67.1.6","CHEBI:48545","pentapeptide"
"2.A.123.2.1","CHEBI:9840","UDP-sugar"
"3.A.1.201.39","CHEBI:23888","drug"
"1.C.8.1.2","CHEBI:7990","peptide"
"1.F.1.1.2","CHEBI:25512","neurotransmitter"
"1.A.35.5.3","CHEBI:6635","magnesium(2+)"
"2.A.86.1.4","CHEBI:40646","autoinducer-2"
"2.A.1.1.74","CHEBI:45460","alpha-L-rhamnopyranose"
"1.B.70.1.15","CHEBI:25367","molecule"
"2.A.67.2.10","CHEBI:38155","phytosiderophore"
"2.A.23.2.11","CHEBI:29987","glutamate(2-)"
"2.A.23.2.11","CHEBI:29995","aspartate(2-)"
"2.A.7.14.5","CHEBI:8639","7H-purine"
"2.A.1.1.25","CHEBI:5584","hydron"
"2.A.1.1.25","CHEBI:10601","myo-inositol"
"2.A.1.1.25","CHEBI:17268","myo-inositol"
"2.A.17.4.7","CHEBI:5437","glutathione"
"2.A.17.4.7","CHEBI:9742","tripeptide"
"2.A.17.4.7","CHEBI:4634","dipeptide"
"3.A.28.1.1","CHEBI:14911","protein"
"2.A.29.10.8","CHEBI:7422","NAD(+)"
"2.A.6.2.11","CHEBI:9296","styrene"
"2.A.6.2.11","CHEBI:10590","m-xylene"
"2.A.6.2.11","CHEBI:9624","toluene"
"2.A.6.2.11","CHEBI:4898","ethylbenzene"
"2.A.6.2.11","CHEBI:42630","propylbenzene"
"1.C.88.1.2","CHEBI:25367","molecule"
"1.G.22.1.1","CHEBI:25367","molecule"
"1.C.52.1.34","CHEBI:22563","anion"
"1.C.4.7.1","CHEBI:25367","molecule"
"1.C.52.1.18","CHEBI:24870","ion"
"1.A.8.9.15","CHEBI:5585","water"
"1.A.8.9.15","CHEBI:25367","molecule"
"3.A.1.2.1","CHEBI:10410","beta-D-ribopyranose"
"1.A.4.3.3","CHEBI:3308","calcium(2+)"
"2.A.97.1.1","CHEBI:34552","barium(2+)"
"2.A.97.1.1","CHEBI:34982","strontium(2+)"
"2.A.97.1.1","CHEBI:3308","calcium(2+)"
"2.A.97.1.1","CHEBI:6635","magnesium(2+)"
"2.A.97.1.1","CHEBI:29035","manganese(2+)"
"2.A.97.1.1","CHEBI:9175","sodium(1+)"
"2.A.97.1.1","CHEBI:8345","potassium(1+)"
"2.A.1.4.11","CHEBI:57597","sn-glycerol 3-phosphate(2-)"
"2.A.1.4.11","CHEBI:10648","sn-glycerol 3-phosphate"
"2.A.60.1.29","CHEBI:1724","dehydroepiandrosterone sulfate"
"2.A.3.4.2","CHEBI:1786","gamma-aminobutyric acid"
"1.B.9.2.2","CHEBI:24632","hydrocarbon"
"2.A.1.7.17","CHEBI:5172","fructose"
"2.A.37.1.7","CHEBI:30143","lithium(1+)"
"2.A.37.1.7","CHEBI:9175","sodium(1+)"
"2.A.37.1.7","CHEBI:8345","potassium(1+)"
"2.A.37.1.7","CHEBI:33126","caesium(1+)"
"1.C.44.1.1","CHEBI:25367","molecule"
"2.A.66.1.46","CHEBI:133919","decarbamoylsaxitoxin"
"2.A.66.1.46","CHEBI:87211","fluoroquinolone antibiotic"
"2.A.123.2.4","CHEBI:9840","UDP-sugar"
"3.A.16.1.1","CHEBI:36080","protein"
"3.A.2.1.12","CHEBI:9175","sodium(1+)"
"5.A.3.10.2","CHEBI:15226","tetrathionate(2-)"
"1.B.25.1.32","CHEBI:9800","tyrosine"
"4.A.3.2.9","CHEBI:6353","alpha-lactose"
"2.A.6.6.1","CHEBI:3659","cholesterol"
"1.A.23.4.6","CHEBI:24870","ion"
"3.A.1.208.42","CHEBI:35218","anthocyanin cation"
"3.A.1.208.42","CHEBI:10603","myo-inositol hexakisphosphate"
"1.C.12.3.3","CHEBI:25367","molecule"
"3.A.1.106.7","CHEBI:4799","enterobactin"
"1.A.17.2.3","CHEBI:3731","chloride"
"1.A.1.21.1","CHEBI:9175","sodium(1+)"
"1.A.1.21.1","CHEBI:8345","potassium(1+)"
"2.A.1.1.53","CHEBI:10601","myo-inositol"
"2.A.1.1.53","CHEBI:5418","glucose"
"2.A.4.2.7","CHEBI:10113","zinc(2+)"
"2.A.20.3.4","CHEBI:7793","phosphate(3-)"
"3.A.1.1.53","CHEBI:8771","raffinose"
"3.A.1.1.53","CHEBI:9248","stachyose"
"3.A.1.1.53","CHEBI:10371","verbascose"
"3.A.1.1.53","CHEBI:6733","melibiose"
"3.A.1.1.53","CHEBI:6026","isomaltose"
"3.A.1.1.53","CHEBI:7912","panose"
"3.A.1.1.53","CHEBI:6027","isomaltotriose"
"3.A.1.106.9","CHEBI:2448","actinorhodin"
"2.A.1.3.35","CHEBI:29570","daptomycin"
"2.A.1.3.35","CHEBI:6827","methicillin"
"1.B.19.1.6","CHEBI:25367","molecule"
"2.A.117.1.5","CHEBI:23888","drug"
"2.A.72.3.12","CHEBI:29103","potassium(1+)"
"9.B.214.1.1","CHEBI:8526","protein polypeptide chain"
"2.A.3.7.6","CHEBI:29987","glutamate(2-)"
"2.A.3.7.6","CHEBI:29995","aspartate(2-)"
"2.A.7.12.1","CHEBI:3275","cytidine 5'-monophosphate"
"2.A.7.12.1","CHEBI:16556","CMP-N-acetyl-beta-neuraminic acid"
"1.A.22.1.1","CHEBI:24870","ion"
"1.A.22.1.1","CHEBI:25728","osmolyte"
"2.A.6.2.33","CHEBI:3603","chloramphenicol"
"2.A.6.2.33","CHEBI:9474","tetracycline"
"2.A.6.2.33","CHEBI:87211","fluoroquinolone antibiotic"
"2.A.6.2.33","CHEBI:25106","macrolide"
"3.A.1.23.4","CHEBI:25517","nickel(2+)"
"1.A.12.2.2","CHEBI:3731","chloride"
"3.A.3.2.38","CHEBI:3308","calcium(2+)"
"2.A.53.3.1","CHEBI:9335","sulfate"
"2.A.20.1.7","CHEBI:7793","phosphate(3-)"
"1.A.1.13.5","CHEBI:24870","ion"
"1.A.8.8.3","CHEBI:24870","ion"
"1.A.77.3.5","CHEBI:3473","cation"
"2.A.47.1.2","CHEBI:9175","sodium(1+)"
"1.B.6.2.5","CHEBI:25367","molecule"
"1.A.91.1.1","CHEBI:22563","anion"
"1.A.91.1.1","CHEBI:33284","nutrient"
"1.A.87.4.1","CHEBI:3308","calcium(2+)"
"1.A.11.2.1","CHEBI:7434","ammonia"
"1.A.11.2.1","CHEBI:6864","methylamine"
"1.A.22.1.14","CHEBI:25367","molecule"
"1.A.64.4.1","CHEBI:24870","ion"
"1.B.60.1.1","CHEBI:3473","cation"
"1.A.77.1.14","CHEBI:3308","calcium(2+)"
"1.B.69.2.3","CHEBI:25367","molecule"
"2.A.19.4.8","CHEBI:9175","sodium(1+)"
"2.A.19.4.8","CHEBI:8345","potassium(1+)"
"2.A.3.2.2","CHEBI:3288","cadaverine"
"3.E.1.6.9","CHEBI:5584","hydron"
"2.A.18.6.5","CHEBI:33094","(S)-3-aminoisobutyric acid"
"2.A.18.6.5","CHEBI:6271","L-methionine"
"2.A.18.6.5","CHEBI:33704","alpha-amino acid"
"2.A.18.6.5","CHEBI:6191","L-asparagine"
"2.A.18.6.5","CHEBI:6308","L-threonine"
"2.A.18.6.5","CHEBI:6227","L-glutamine"
"2.A.18.6.5","CHEBI:6286","L-proline"
"2.A.18.6.5","CHEBI:6171","L-alanine"
"2.A.18.6.5","CHEBI:6260","L-leucine"
"2.A.18.6.5","CHEBI:6301","L-serine"
"2.A.18.6.5","CHEBI:5460","glycine"
"2.A.18.6.5","CHEBI:6282","L-phenylalanine"
"2.A.7.5.1","CHEBI:5418","glucose"
"3.A.1.208.37","CHEBI:23888","drug"
"2.A.1.2.53","CHEBI:23888","drug"
"1.A.59.1.1","CHEBI:24870","ion"
"1.A.69.4.3","CHEBI:3473","cation"
"3.A.1.201.34","CHEBI:22676","auxin"
"2.A.53.2.2","CHEBI:5589","hydrogencarbonate"
"2.A.53.2.2","CHEBI:9335","sulfate"
"1.C.4.8.1","CHEBI:25367","molecule"
"1.B.5.1.1","CHEBI:22563","anion"
"1.B.5.1.1","CHEBI:7793","phosphate(3-)"
"1.B.5.1.1","CHEBI:28915","fosfomycin"
"2.A.104.3.1","CHEBI:6171","L-alanine"
"3.A.1.1.57","CHEBI:7758","oligosaccharide"
"3.A.1.204.22","CHEBI:6486","lipid"
"2.A.96.1.3","CHEBI:13704","acetate"
"1.B.1.1.22","CHEBI:25367","molecule"
"1.A.3.2.17","CHEBI:3308","calcium(2+)"
"1.C.115.1.1","CHEBI:25367","molecule"
"2.A.52.2.2","CHEBI:23337","cobalt(2+)"
"2.A.52.2.2","CHEBI:25517","nickel(2+)"
"1.B.20.1.2","CHEBI:14911","protein"
"1.A.69.7.1","CHEBI:3473","cation"
"3.A.1.15.8","CHEBI:34754","iron(2+)"
"3.A.1.15.8","CHEBI:29035","manganese(2+)"
"3.A.1.15.8","CHEBI:10113","zinc(2+)"
"1.B.66.1.7","CHEBI:25367","molecule"
"1.C.97.3.1","CHEBI:25367","molecule"
"2.A.1.5.1","CHEBI:17306","maltose"
"2.A.1.5.1","CHEBI:28053","melibiose"
"2.A.1.5.1","CHEBI:17716","lactose"
"2.A.1.5.1","CHEBI:17992","sucrose"
"2.A.1.5.1","CHEBI:546840","4-nitrophenyl alpha-D-galactoside"
"2.A.1.5.1","CHEBI:355715","4-nitrophenyl-beta-D-galactoside"
"2.A.1.5.1","CHEBI:17540","methyl beta-D-galactoside"
"2.A.3.10.3","CHEBI:26271","proline"
"2.A.123.1.26","CHEBI:5340","gibberellin A3"
"2.A.1.1.109","CHEBI:5709","hexose"
"2.A.60.1.12","CHEBI:63827","bromosulfophthalein sodium"
"2.A.60.1.12","CHEBI:57748","cholate"
"2.A.60.1.12","CHEBI:36257","taurocholate"
"2.A.60.1.12","CHEBI:5437","glutathione"
"2.A.60.1.12","CHEBI:135946","sincalide"
"2.A.60.1.12","CHEBI:9722","3,3',5-triiodo-L-thyronine"
"2.A.60.1.12","CHEBI:6837","methotrexate"
"2.A.60.1.12","CHEBI:1724","dehydroepiandrosterone sulfate"
"2.A.60.1.12","CHEBI:6422","leukotriene C4"
"2.A.60.1.12","CHEBI:3098","bile acid"
"2.A.21.8.1","CHEBI:9175","sodium(1+)"
"2.A.21.8.1","CHEBI:3665","choline"
"3.A.10.1.14","CHEBI:9175","sodium(1+)"
"2.A.3.8.29","CHEBI:2642","alpha-amino acid"
"1.B.1.5.2","CHEBI:24870","ion"
"2.A.66.2.23","CHEBI:18154","polysaccharide"
"1.A.1.13.6","CHEBI:8345","potassium(1+)"
"9.A.31.1.4","CHEBI:7990","peptide"
"9.A.31.1.4","CHEBI:8526","protein polypeptide chain"
"2.A.5.3.9","CHEBI:27365","zinc ion"
"9.B.22.1.2","CHEBI:8526","protein polypeptide chain"
"9.B.27.2.2","CHEBI:5584","hydron"
"9.B.27.2.2","CHEBI:9090","selenite(2-)"
"2.A.7.14.1","CHEBI:4072","cytosine"
"2.A.7.14.1","CHEBI:8675","pyrimidine"
"2.A.7.14.1","CHEBI:8639","7H-purine"
"2.A.7.14.1","CHEBI:2470","adenine"
"2.A.7.14.1","CHEBI:10107","trans-zeatin"
"2.A.7.14.1","CHEBI:43130","kinetin"
"2.A.7.14.1","CHEBI:5841","hypoxanthine"
"2.A.7.14.1","CHEBI:3295","caffeine"
"2.A.7.14.1","CHEBI:22315","alkaloid"
"2.A.7.14.1","CHEBI:26158","plant hormone"
"4.D.1.3.1","CHEBI:24403","glycosyl group"
"2.A.1.1.81","CHEBI:5418","glucose"
"1.B.45.3.1","CHEBI:25367","molecule"
"1.A.78.1.2","CHEBI:8345","potassium(1+)"
"1.A.8.10.17","CHEBI:15377","water"
"1.A.62.2.4","CHEBI:3308","calcium(2+)"
"2.A.111.1.3","CHEBI:24636","proton"
"2.A.111.1.3","CHEBI:26708","sodium atom"
"3.E.2.2.3","CHEBI:7860","dioxygen"
"3.E.2.2.3","CHEBI:8262","plastoquinone"
"2.A.6.2.38","CHEBI:27780","detergent"
"2.A.40.4.6","CHEBI:5563","guanine"
"2.A.40.4.6","CHEBI:10059","9H-xanthine"
"2.A.1.2.36","CHEBI:3933","crystal violet"
"2.A.1.2.36","CHEBI:6126","ketoconazole"
"1.A.54.5.1","CHEBI:3473","cation"
"1.C.15.1.1","CHEBI:25367","molecule"
"1.A.8.9.12","CHEBI:5585","water"
"1.A.68.1.3","CHEBI:24870","ion"
"1.B.7.1.1","CHEBI:25367","molecule"
"2.A.66.3.2","CHEBI:8150","phospholipid"
"2.A.19.4.2","CHEBI:3308","calcium(2+)"
"2.A.19.4.2","CHEBI:9175","sodium(1+)"
"2.A.19.4.2","CHEBI:8345","potassium(1+)"
"3.A.1.15.12","CHEBI:34754","iron(2+)"
"2.A.34.1.2","CHEBI:9175","sodium(1+)"
"2.A.34.1.2","CHEBI:8345","potassium(1+)"
"2.A.34.1.2","CHEBI:5584","hydron"
"1.A.2.2.3","CHEBI:8345","potassium(1+)"
"2.A.1.14.38","CHEBI:9335","sulfate"
"2.A.1.14.38","CHEBI:9569","thiosulfate(2-)"
"2.A.1.14.38","CHEBI:33543","sulfonate"
"2.A.1.14.38","CHEBI:9344","sulfurous acid"
"1.A.8.9.10","CHEBI:15377","water"
"1.A.8.9.10","CHEBI:5448","glycerol"
"9.B.142.10.5","CHEBI:24403","glycosyl group"
"2.A.15.1.3","CHEBI:5584","hydron"
"2.A.15.1.3","CHEBI:3665","choline"
"2.A.15.1.3","CHEBI:3073","glycine betaine"
"3.A.1.205.5","CHEBI:19203","1H-pyrrole"
"3.A.1.205.5","CHEBI:9448","terbinafine"
"3.A.1.205.5","CHEBI:599509","caspofungin"
"3.A.1.205.5","CHEBI:31779","amorolfine"
"1.B.68.1.4","CHEBI:25367","molecule"
"3.A.1.208.22","CHEBI:10074","xenobiotic"
"2.A.1.58.1","CHEBI:24636","proton"
"2.A.1.58.1","CHEBI:28009","N-acetyl-beta-D-glucosamine"
"1.C.123.1.1","CHEBI:69437","orobol"
"1.A.96.1.2","CHEBI:25367","molecule"
"1.B.59.1.2","CHEBI:25367","molecule"
"9.A.8.1.12","CHEBI:34754","iron(2+)"
"2.A.1.53.2","CHEBI:27266","valine"
"1.N.2.1.2","CHEBI:25367","molecule"
"1.C.109.1.1","CHEBI:25367","molecule"
"2.A.1.53.1","CHEBI:16857","L-threonine"
"9.B.163.1.7","CHEBI:25367","molecule"
"1.A.52.1.2","CHEBI:3308","calcium(2+)"
"2.A.39.3.3","CHEBI:5584","hydron"
"2.A.39.3.3","CHEBI:9893","uridine"
"2.A.39.3.3","CHEBI:40154","5-fluorouridine"
"2.A.1.1.47","CHEBI:9885","7,9-dihydro-1H-purine-2,6,8(3H)-trione"
"1.A.35.2.3","CHEBI:25213","metal cation"
"3.A.19.1.3","CHEBI:8526","protein polypeptide chain"
"1.A.2.1.6","CHEBI:8345","potassium(1+)"
"2.A.94.1.7","CHEBI:14911","protein"
"1.C.41.1.1","CHEBI:69437","orobol"
"2.A.1.1.115","CHEBI:25212","metabolite"
"3.A.7.14.1","CHEBI:4291","deoxyribonucleic acid"
"3.A.1.211.26","CHEBI:35748","fatty acid ester"
"3.A.1.211.26","CHEBI:17002","cholesteryl ester"
"3.A.1.211.26","CHEBI:9664","triglyceride"
"1.A.6.4.4","CHEBI:9175","sodium(1+)"
"3.A.1.2.6","CHEBI:33935","allose"
"2.A.123.1.9","CHEBI:5418","glucose"
"2.A.123.1.9","CHEBI:18133","hexose"
"1.B.64.1.1","CHEBI:9840","UDP-sugar"
"1.B.64.1.1","CHEBI:17593","maltooligosaccharide"
"2.A.21.3.15","CHEBI:9175","sodium(1+)"
"2.A.21.3.15","CHEBI:5418","glucose"
"3.A.1.2.18","CHEBI:10085","xylose"
"1.A.1.10.6","CHEBI:9175","sodium(1+)"
"1.B.8.8.5","CHEBI:22563","anion"
"1.B.44.2.18","CHEBI:25367","molecule"
"1.A.2.1.17","CHEBI:8345","potassium(1+)"
"1.A.2.1.17","CHEBI:49685","potassium(1+)"
"2.A.1.13.1","CHEBI:30031","succinate(2-)"
"2.A.1.13.1","CHEBI:3407","monocarboxylic acid anion"
"2.A.1.13.1","CHEBI:13704","acetate"
"2.A.1.13.1","CHEBI:28240","dichloroacetate"
"2.A.1.13.1","CHEBI:13705","acetoacetate"
"2.A.1.13.1","CHEBI:15361","pyruvate"
"2.A.1.13.1","CHEBI:15740","formate"
"2.A.1.13.1","CHEBI:24996","lactate"
"2.A.1.13.1","CHEBI:17968","butyrate"
"2.A.1.13.1","CHEBI:50613","(S)-2-hydroxybutyric acid"
"2.A.1.13.1","CHEBI:20067","3-hydroxybutyric acid"
"2.A.1.13.1","CHEBI:25351","mevalonic acid"
"2.A.1.13.1","CHEBI:131461","3-bromopyruvic acid"
"3.A.16.1.2","CHEBI:36080","protein"
"1.A.31.1.3","CHEBI:24870","ion"
"2.A.19.8.1","CHEBI:3308","calcium(2+)"
"2.A.19.8.1","CHEBI:5584","hydron"
"1.B.54.1.9","CHEBI:25367","molecule"
"2.A.6.1.13","CHEBI:3290","cadmium(2+)"
"2.A.6.1.13","CHEBI:10113","zinc(2+)"
"1.B.8.7.1","CHEBI:25367","molecule"
"3.D.6.1.4","CHEBI:5584","hydron"
"2.A.66.1.53","CHEBI:50744","citrate salt"
"2.A.5.5.8","CHEBI:10113","zinc(2+)"
"2.A.1.7.16","CHEBI:14575","mannose"
"4.E.1.1.6","CHEBI:9744","triphosphate(5-)"
"2.A.31.2.12","CHEBI:9175","sodium(1+)"
"2.A.31.2.12","CHEBI:29201","carbonate"
"2.A.31.2.12","CHEBI:5589","hydrogencarbonate"
"3.A.8.1.3","CHEBI:14911","protein"
"1.A.11.2.4","CHEBI:7434","ammonia"
"1.A.11.2.4","CHEBI:6864","methylamine"
"1.A.106.1.1","CHEBI:3308","calcium(2+)"
"3.A.1.12.1","CHEBI:16244","4-(trimethylammonio)butanoate"
"3.A.1.12.1","CHEBI:3665","choline"
"3.A.1.12.1","CHEBI:3424","carnitinium"
"3.A.1.12.1","CHEBI:28825","beta-alanine betaine"
"3.A.1.12.1","CHEBI:3073","glycine betaine"
"3.A.1.12.1","CHEBI:26271","proline"
"3.A.1.205.19","CHEBI:25367","molecule"
"1.C.51.1.1","CHEBI:24870","ion"
"2.A.76.1.11","CHEBI:2642","alpha-amino acid"
"1.A.33.1.1","CHEBI:24870","ion"
"2.A.22.1.2","CHEBI:9175","sodium(1+)"
"2.A.22.1.2","CHEBI:2679","amphetamine"
"2.A.22.1.2","CHEBI:1","(R)-noradrenaline"
"2.A.29.8.16","CHEBI:21301","L-glutamate(1-)"
"9.A.14.3.8","CHEBI:5585","water"
"9.A.14.3.8","CHEBI:8150","phospholipid"
"1.E.42.1.5","CHEBI:8526","protein polypeptide chain"
"1.A.46.2.3","CHEBI:22563","anion"
"3.D.4.4.4","CHEBI:5584","hydron"
"3.A.3.6.20","CHEBI:3290","cadmium(2+)"
"3.A.3.6.20","CHEBI:10113","zinc(2+)"
"2.A.3.10.21","CHEBI:25094","lysine"
"2.A.3.10.21","CHEBI:2643","arginine"
"2.A.3.10.21","CHEBI:5733","histidine"
"4.D.1.1.9","CHEBI:271","alginic acid"
"1.A.67.1.1","CHEBI:6635","magnesium(2+)"
"1.C.71.2.1","CHEBI:3473","cation"
"3.A.3.32.5","CHEBI:25213","metal cation"
"1.B.21.1.4","CHEBI:25367","molecule"
"3.A.1.205.21","CHEBI:35186","terpene"
"3.A.1.205.21","CHEBI:9053","sclareol"
"3.A.1.205.21","CHEBI:25212","metabolite"
"2.A.7.3.71","CHEBI:8843","riboflavin"
"2.A.1.48.1","CHEBI:25094","lysine"
"2.A.1.48.1","CHEBI:2643","arginine"
"2.A.1.48.1","CHEBI:5733","histidine"
"2.A.60.1.8","CHEBI:22563","anion"
"2.A.60.1.8","CHEBI:23899","icosanoid"
"2.A.60.1.8","CHEBI:3098","bile acid"
"2.A.60.1.8","CHEBI:9885","7,9-dihydro-1H-purine-2,6,8(3H)-trione"
"2.A.60.1.8","CHEBI:24621","hormone"
"2.A.60.1.8","CHEBI:27026","toxin"
"2.A.123.1.1","CHEBI:9840","UDP-sugar"
"1.A.104.1.1","CHEBI:9175","sodium(1+)"
"5.A.3.3.3","CHEBI:10545","electron"
"2.A.31.2.4","CHEBI:3731","chloride"
"2.A.31.2.4","CHEBI:9175","sodium(1+)"
"2.A.31.2.4","CHEBI:5589","hydrogencarbonate"
"2.A.72.2.1","CHEBI:8345","potassium(1+)"
"3.A.1.8.5","CHEBI:6967","molybdate"
"9.B.184.1.5","CHEBI:25367","molecule"
"1.N.3.1.1","CHEBI:25367","molecule"
